position,exit_a,exit_b,n_items,agreement,ci_low,ci_high
-1,1,1,148,1.0,1.0,1.000000000000001
-1,1,2,148,0.527027027027027,0.4459459459459457,0.6081081081081081
-1,1,3,148,0.47297297297297297,0.3918918918918918,0.554054054054054
-1,1,4,148,0.4527027027027027,0.3716216216216215,0.5337837837837837
-1,2,1,148,0.527027027027027,0.4459459459459457,0.6081081081081081
-1,2,2,148,1.0,1.0,1.000000000000001
-1,2,3,148,0.75,0.675675675675676,0.817567567567568
-1,2,4,148,0.7297297297297297,0.6554054054054055,0.7972972972972977
-1,3,1,148,0.47297297297297297,0.3918918918918918,0.554054054054054
-1,3,2,148,0.75,0.675675675675676,0.817567567567568
-1,3,3,148,1.0,1.0,1.000000000000001
-1,3,4,148,0.8513513513513513,0.7905405405405409,0.9054054054054059
-1,4,1,148,0.4527027027027027,0.3716216216216215,0.5337837837837837
-1,4,2,148,0.7297297297297297,0.6554054054054055,0.7972972972972977
-1,4,3,148,0.8513513513513513,0.7905405405405409,0.9054054054054059
-1,4,4,148,1.0,1.0,1.000000000000001
-2,1,1,148,1.0,1.0,1.000000000000001
-2,1,2,148,0.7567567567567568,0.6891891891891889,0.8243243243243247
-2,1,3,148,0.722972972972973,0.6486486486486488,0.7972972972972971
-2,1,4,148,0.722972972972973,0.6486486486486487,0.7972972972972971
-2,2,1,148,0.7567567567567568,0.6891891891891889,0.8243243243243247
-2,2,2,148,1.0,1.0,1.000000000000001
-2,2,3,148,0.8648648648648649,0.8040540540540548,0.9189189189189193
-2,2,4,148,0.8445945945945946,0.783783783783784,0.8986486486486492
-2,3,1,148,0.722972972972973,0.6486486486486488,0.7972972972972971
-2,3,2,148,0.8648648648648649,0.8040540540540548,0.9189189189189193
-2,3,3,148,1.0,1.0,1.000000000000001
-2,3,4,148,0.9662162162162162,0.9324324324324331,0.9932432432432438
-2,4,1,148,0.722972972972973,0.6486486486486487,0.7972972972972971
-2,4,2,148,0.8445945945945946,0.783783783783784,0.8986486486486492
-2,4,3,148,0.9662162162162162,0.9324324324324331,0.9932432432432438
-2,4,4,148,1.0,1.0,1.000000000000001
